year,metro,city,genSrc,capacity,cnt,all,0,1,2,3,4,5,6,7,8,9,10,면적,필지,h_m
2018.0,강원,삼척시,태양광,14040.37,67.0,68326.0,4310.0,6012.0,8334.0,6697.0,9703.0,11986.0,10039.0,7149.0,3561.0,490.0,45.0,1186532912.1999996,146154,0.05758458050128078
2019.0,강원,삼척시,태양광,26313.99,173.0,67228.0,4139.0,5610.0,7935.0,6344.0,9332.0,11767.0,10556.0,7200.0,3775.0,524.0,46.0,1186532912.1999996,146154,0.05665919529813108
2020.0,강원,삼척시,태양광,41317.0,238.0,65243.0,3861.0,5134.0,7236.0,5795.0,8923.0,11331.0,11167.0,7187.0,3976.0,582.0,51.0,1186532912.1999996,146154,0.05498625392449524
2021.0,강원,삼척시,태양광,50919.06,269.0,63429.0,3524.0,5018.0,6721.0,5210.0,8497.0,10920.0,11843.0,6992.0,4074.0,614.0,16.0,1186532912.1999996,146154,0.053457429918563046
2012.0,강원,속초시,태양광,49.2,3.0,83579.0,7062.0,11255.0,8994.0,11260.0,15146.0,14418.0,7587.0,5534.0,2047.0,256.0,20.0,105701807.1,38257,0.7907054977870857
2012.0,강원,속초시,폐기물,390.0,1.0,83579.0,7062.0,11255.0,8994.0,11260.0,15146.0,14418.0,7587.0,5534.0,2047.0,256.0,20.0,105701807.1,38257,0.7907054977870857
2013.0,강원,속초시,태양광,346.6,5.0,83109.0,6772.0,10777.0,8848.0,10852.0,14950.0,14858.0,7848.0,5777.0,2120.0,286.0,21.0,105701807.1,38257,0.786259026975519
2013.0,강원,속초시,폐기물,390.0,1.0,83109.0,6772.0,10777.0,8848.0,10852.0,14950.0,14858.0,7848.0,5777.0,2120.0,286.0,21.0,105701807.1,38257,0.786259026975519
2014.0,강원,속초시,태양광,1597.64,18.0,82432.0,6628.0,10230.0,8871.0,10285.0,14603.0,14962.0,8349.0,5904.0,2268.0,310.0,22.0,105701807.1,38257,0.779854216891624
2014.0,강원,속초시,폐기물,880.0,2.0,82432.0,6628.0,10230.0,8871.0,10285.0,14603.0,14962.0,8349.0,5904.0,2268.0,310.0,22.0,105701807.1,38257,0.779854216891624
2015.0,강원,속초시,태양광,1966.41,23.0,81992.0,6543.0,9621.0,8836.0,10037.0,14292.0,14959.0,8921.0,6031.0,2374.0,356.0,22.0,105701807.1,38257,0.7756915633659021
2015.0,강원,속초시,폐기물,880.0,2.0,81992.0,6543.0,9621.0,8836.0,10037.0,14292.0,14959.0,8921.0,6031.0,2374.0,356.0,22.0,105701807.1,38257,0.7756915633659021
2016.0,강원,속초시,태양광,2369.41,28.0,81793.0,6411.0,9086.0,8962.0,9746.0,13914.0,15077.0,9457.0,6181.0,2539.0,394.0,26.0,105701807.1,38257,0.7738089087031323
2016.0,강원,속초시,폐기물,880.0,2.0,81793.0,6411.0,9086.0,8962.0,9746.0,13914.0,15077.0,9457.0,6181.0,2539.0,394.0,26.0,105701807.1,38257,0.7738089087031323
2017.0,강원,속초시,태양광,2859.0,32.0,82273.0,6171.0,8625.0,9170.0,9674.0,13753.0,15139.0,10132.0,6449.0,2688.0,447.0,25.0,105701807.1,38257,0.7783499852766472
2017.0,강원,속초시,폐기물,880.0,2.0,82273.0,6171.0,8625.0,9170.0,9674.0,13753.0,15139.0,10132.0,6449.0,2688.0,447.0,25.0,105701807.1,38257,0.7783499852766472
2018.0,강원,속초시,태양광,3293.96,34.0,81682.0,6052.0,8201.0,8948.0,9448.0,13078.0,15201.0,10838.0,6571.0,2817.0,502.0,26.0,105701807.1,38257,0.7727587847455071
2018.0,강원,속초시,폐기물,490.0,1.0,81682.0,6052.0,8201.0,8948.0,9448.0,13078.0,15201.0,10838.0,6571.0,2817.0,502.0,26.0,105701807.1,38257,0.7727587847455071
2019.0,강원,속초시,태양광,3744.01,44.0,81786.0,5961.0,7772.0,8912.0,9292.0,12650.0,15219.0,11679.0,6705.0,2980.0,583.0,33.0,105701807.1,38257,0.7737426846697686
2019.0,강원,속초시,폐기물,490.0,1.0,81786.0,5961.0,7772.0,8912.0,9292.0,12650.0,15219.0,11679.0,6705.0,2980.0,583.0,33.0,105701807.1,38257,0.7737426846697686
2020.0,강원,속초시,태양광,3760.0,45.0,82665.0,5859.0,7478.0,9018.0,9199.0,12482.0,15176.0,12798.0,6804.0,3202.0,617.0,32.0,105701807.1,38257,0.7820585311450178
2021.0,강원,속초시,태양광,4382.14,55.0,82791.0,5621.0,7220.0,8958.0,9112.0,12149.0,15068.0,13878.0,6770.0,3395.0,608.0,12.0,105701807.1,38257,0.7832505637455653
2012.0,강원,양구군,태양광,1453.86,17.0,22799.0,2107.0,2789.0,3384.0,2916.0,3163.0,3586.0,2065.0,2007.0,668.0,104.0,10.0,661887501.9999999,90931,0.0344454305771134
2013.0,강원,양구군,태양광,2067.9,24.0,23594.0,2140.0,2789.0,3639.0,2950.0,3231.0,3809.0,2092.0,2096.0,723.0,115.0,10.0,661887501.9999999,90931,0.035646541034098575
2014.0,강원,양구군,태양광,4523.64,50.0,23888.0,2104.0,2745.0,3758.0,2947.0,3252.0,3876.0,2163.0,2162.0,741.0,129.0,11.0,661887501.9999999,90931,0.03609072527856857
2015.0,강원,양구군,태양광,8148.4,89.0,24089.0,2075.0,2664.0,4001.0,2909.0,3159.0,3824.0,2358.0,2168.0,792.0,130.0,9.0,661887501.9999999,90931,0.03639440226203275
2016.0,강원,양구군,태양광,14739.4,153.0,24010.0,2039.0,2522.0,4020.0,2829.0,3064.0,3869.0,2506.0,2154.0,868.0,128.0,11.0,661887501.9999999,90931,0.03627504663171598
2017.0,강원,양구군,태양광,26197.0,246.0,23835.0,1984.0,2449.0,3822.0,2814.0,2970.0,3845.0,2697.0,2160.0,932.0,150.0,12.0,661887501.9999999,90931,0.03601065124810289
2018.0,강원,양구군,소수력,180.0,1.0,23408.0,1935.0,2312.0,3605.0,2777.0,2822.0,3742.0,2927.0,2125.0,994.0,153.0,16.0,661887501.9999999,90931,0.03536552651208695
